STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-18,,,28.4,,14.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-19,0.0,",,E",32.0,",,E",18.6,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-20,0.0,",,E",29.0,",,E",21.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-21,0.0,",,E",26.0,",,E",19.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-22,0.0,",,E",27.0,",,E",17.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-23,0.0,",,E",28.0,",,E",19.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-24,0.0,",,E",28.0,",,E",17.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-25,0.0,",,E",31.0,",,E",19.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-26,0.0,",,E",33.0,",,E",22.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-27,,,27.4,,20.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-28,0.0,",,E",22.0,",,E",19.0,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-29,0.0,",,E",27.0,",,E",17.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-30,0.0,",,E",27.0,",,E",17.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-01,0.0,",,E",26.0,",,E",17.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-02,0.0,",,E",35.0,",,E",20.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-03,,,26.6,,24.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-04,0.0,",,E",25.0,",,E",16.8,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-05,19.4,",,E",25.0,",,E",15.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-06,4.8,",,E",24.0,",,E",15.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-07,0.0,",,E",29.0,",,E",17.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-08,0.0,",,E",30.0,",,E",16.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-09,0.0,",,E",28.0,",,E",21.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-10,,,32.0,,16.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-11,0.0,",,E",30.0,",,E",22.2,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-12,0.0,",,E",34.0,",,E",22.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-13,,,33.2,,20.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-14,0.0,",,E",31.0,",,E",25.0,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-15,0.0,",,E",33.0,",,E",22.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-16,0.0,",,E",34.0,",,E",25.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-17,,,35.4,,27.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-18,0.0,",,E",35.0,",,E",25.4,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-19,0.0,",,E",36.0,",,E",26.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-20,0.0,",,E",35.0,",,E",26.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-21,0.0,",,E",36.0,",,E",26.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-22,0.0,",,E",35.0,",,E",27.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-23,0.0,",,E",33.0,",,E",22.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-24,,,28.8,,21.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-25,0.0,",,E",32.0,",,E",18.8,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-26,0.0,",,E",31.0,",,E",21.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-27,0.0,",,E",30.0,",,E",22.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-28,0.0,",,E",25.0,",,E",18.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-29,0.0,",,E",26.0,",,E",17.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-30,0.0,",,E",27.0,",,E",16.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-07-31,,,35.2,,17.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-01,0.0,",,E",30.0,",,E",26.2,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-02,0.0,",,E",31.0,",,E",21.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-03,0.0,",,E",38.0,",,E",25.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-04,0.0,",,E",38.0,",,E",28.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-05,0.0,",,E",39.0,",,E",29.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-06,0.0,",,E",36.0,",,E",28.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-07,,,32.0,,22.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-08,0.0,",,E",34.0,",,E",21.4,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-09,0.0,",,E",32.0,",,E",21.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-10,0.0,",,E",30.0,",,E",20.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-11,0.0,",,E",31.0,",,E",21.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-08-12,0.0,",,E",33.0,",,E",21.0,",,E"
